year,state,state_po,state_fips,democrat,dem_votes,republican,rep_votes,other_votes,total_votes,winning_party,electoral_votes_dem,electoral_votes_rep,total_electoral_votes,population,Latitude,Longitude
2016,NORTH DAKOTA,ND,38,"CLINTON, HILLARY",93758,"TRUMP, DONALD J.",216794,33808,344360,REPUBLICAN,0,3,3,756.114,47.4678819,-100.3022655
2020,NORTH DAKOTA,ND,38,"BIDEN, JOSEPH R. JR",114902,"TRUMP, DONALD J.",235595,11322,361819,REPUBLICAN,0,3,3,765.309,47.4678819,-100.3022655
1976,OHIO,OH,39,"CARTER, JIMMY",2009959,"FORD, GERALD",2000626,99871,4110456,DEMOCRAT,25,0,25,10752.662,40.1903624,-82.6692525
1980,OHIO,OH,39,"CARTER, JIMMY",1752414,"REAGAN, RONALD",2206545,324644,4283603,REPUBLICAN,0,25,25,10800.65,40.1903624,-82.6692525
1984,OHIO,OH,39,"MONDALE, WALTER",1825440,"REAGAN, RONALD",2678559,59236,4563235,REPUBLICAN,0,23,23,10737.746,40.1903624,-82.6692525
1988,OHIO,OH,39,"DUKAKIS, MICHAEL",1939629,"BUSH, GEORGE H.W.",2416549,37407,4393585,REPUBLICAN,0,23,23,10798.552,40.1903624,-82.6692525
1992,OHIO,OH,39,"CLINTON, BILL",1984942,"BUSH, GEORGE H.W.",1894310,1060715,4939967,DEMOCRAT,21,0,21,11007.609,40.1903624,-82.6692525
1996,OHIO,OH,39,"CLINTON, BILL",2148222,"DOLE, ROBERT",1859883,526329,4534434,DEMOCRAT,21,0,21,11187.032,40.1903624,-82.6692525
2000,OHIO,OH,39,"GORE, AL",2183628,"BUSH, GEORGE W.",2350363,168007,4701998,REPUBLICAN,0,21,21,11363.543,40.1903624,-82.6692525
2004,OHIO,OH,39,"KERRY, JOHN",2741165,"BUSH, GEORGE W.",2859764,26974,5627903,REPUBLICAN,0,20,20,11452.251,40.1903624,-82.6692525
2008,OHIO,OH,39,"OBAMA, BARACK H.",2940044,"MCCAIN, JOHN",2677820,90486,5708350,DEMOCRAT,20,0,20,11515.391,40.1903624,-82.6692525
2012,OHIO,OH,39,"OBAMA, BARACK H.",2827621,"ROMNEY, MITT",2661407,91794,5580822,DEMOCRAT,18,0,18,11550.971,40.1903624,-82.6692525
2016,OHIO,OH,39,"CLINTON, HILLARY",2394164,"TRUMP, DONALD J.",2841005,261318,5496487,REPUBLICAN,0,18,18,11640.06,40.1903624,-82.6692525
2020,OHIO,OH,39,"BIDEN, JOSEPH R. JR",2679165,"TRUMP, DONALD J.",3154834,88203,5922202,REPUBLICAN,0,18,18,11693.217,40.1903624,-82.6692525
1976,OKLAHOMA,OK,40,"CARTER, JIMMY",532442,"FORD, GERALD",545708,14101,1092251,REPUBLICAN,0,8,8,2826.815,35.3097654,-98.7165585
1980,OKLAHOMA,OK,40,"CARTER, JIMMY",402026,"REAGAN, RONALD",695570,52112,1149708,REPUBLICAN,0,8,8,3040.758,35.3097654,-98.7165585
1984,OKLAHOMA,OK,40,"MONDALE, WALTER",385080,"REAGAN, RONALD",861530,9066,1255676,REPUBLICAN,0,8,8,3285.533,35.3097654,-98.7165585
1988,OKLAHOMA,OK,40,"DUKAKIS, MICHAEL",483423,"BUSH, GEORGE H.W.",678367,9246,1171036,REPUBLICAN,0,8,8,3167.057,35.3097654,-98.7165585
1992,OKLAHOMA,OK,40,"CLINTON, BILL",473066,"BUSH, GEORGE H.W.",592929,324364,1390359,REPUBLICAN,0,8,8,3204.174,35.3097654,-98.7165585
1996,OKLAHOMA,OK,40,"CLINTON, BILL",488105,"DOLE, ROBERT",582315,136293,1206713,REPUBLICAN,0,8,8,3289.634,35.3097654,-98.7165585
2000,OKLAHOMA,OK,40,"GORE, AL",474276,"BUSH, GEORGE W.",744337,15616,1234229,REPUBLICAN,0,8,8,3454.365,35.3097654,-98.7165585
2004,OKLAHOMA,OK,40,"KERRY, JOHN",503966,"BUSH, GEORGE W.",959792,0,1463758,REPUBLICAN,0,7,7,3525.233,35.3097654,-98.7165585
2008,OKLAHOMA,OK,40,"OBAMA, BARACK H.",502496,"MCCAIN, JOHN",960165,0,1462661,REPUBLICAN,0,7,7,3668.976,35.3097654,-98.7165585
2012,OKLAHOMA,OK,40,"OBAMA, BARACK H.",443547,"ROMNEY, MITT",891325,0,1334872,REPUBLICAN,0,7,7,3819.32,35.3097654,-98.7165585
2016,OKLAHOMA,OK,40,"CLINTON, HILLARY",420375,"TRUMP, DONALD J.",949136,83481,1452992,REPUBLICAN,0,7,7,3928.143,35.3097654,-98.7165585
2020,OKLAHOMA,OK,40,"BIDEN, JOSEPH R. JR",503890,"TRUMP, DONALD J.",1020280,36529,1560699,REPUBLICAN,0,7,7,3980.783,35.3097654,-98.7165585
1976,OREGON,OR,41,"CARTER, JIMMY",490407,"FORD, GERALD",492120,47349,1029876,REPUBLICAN,0,6,6,2378.262,44.1419049,-120.5380993
1980,OREGON,OR,41,"CARTER, JIMMY",456890,"REAGAN, RONALD",571044,153582,1181516,REPUBLICAN,0,6,6,2641.218,44.1419049,-120.5380993
1984,OREGON,OR,41,"MONDALE, WALTER",536479,"REAGAN, RONALD",685700,4348,1226527,REPUBLICAN,0,7,7,2666.588,44.1419049,-120.5380993
1988,OREGON,OR,41,"DUKAKIS, MICHAEL",616206,"BUSH, GEORGE H.W.",560126,25362,1201694,DEMOCRAT,7,0,7,2741.297,44.1419049,-120.5380993
1992,OREGON,OR,41,"CLINTON, BILL",621314,"BUSH, GEORGE H.W.",475757,365572,1462643,DEMOCRAT,7,0,7,2973.934,44.1419049,-120.5380993
1996,OREGON,OR,41,"CLINTON, BILL",649641,"DOLE, ROBERT",538152,189967,1377760,DEMOCRAT,7,0,7,3195.087,44.1419049,-120.5380993
2000,OREGON,OR,41,"GORE, AL",720342,"BUSH, GEORGE W.",713577,100031,1533950,DEMOCRAT,7,0,7,3429.708,44.1419049,-120.5380993
2004,OREGON,OR,41,"KERRY, JOHN",943163,"BUSH, GEORGE W.",866831,26788,1836782,DEMOCRAT,7,0,7,3569.463,44.1419049,-120.5380993
2008,OREGON,OR,41,"OBAMA, BARACK H.",1037291,"MCCAIN, JOHN",738475,52098,1827864,DEMOCRAT,7,0,7,3768.748,44.1419049,-120.5380993
2012,OREGON,OR,41,"OBAMA, BARACK H.",970488,"ROMNEY, MITT",754175,64607,1789270,DEMOCRAT,7,0,7,3900.102,44.1419049,-120.5380993
2016,OREGON,OR,41,"CLINTON, HILLARY",1002106,"TRUMP, DONALD J.",782403,216827,2001336,DEMOCRAT,7,0,7,4093.271,44.1419049,-120.5380993
2020,OREGON,OR,41,"BIDEN, JOSEPH R. JR",1340383,"TRUMP, DONALD J.",958448,75490,2374321,DEMOCRAT,7,0,7,4241.507,44.1419049,-120.5380993
1976,PENNSYLVANIA,PA,42,"CARTER, JIMMY",2328677,"FORD, GERALD",2205604,86506,4620787,DEMOCRAT,27,0,27,11897.378,40.9945928,-77.6046984
1980,PENNSYLVANIA,PA,42,"CARTER, JIMMY",1937540,"REAGAN, RONALD",2261872,362089,4561501,REPUBLICAN,0,27,27,11868.305,40.9945928,-77.6046984
1984,PENNSYLVANIA,PA,42,"MONDALE, WALTER",2228131,"REAGAN, RONALD",2584323,32449,4844903,REPUBLICAN,0,25,25,11815.172,40.9945928,-77.6046984
1988,PENNSYLVANIA,PA,42,"DUKAKIS, MICHAEL",2194944,"BUSH, GEORGE H.W.",2300087,41220,4536251,REPUBLICAN,0,25,25,11845.752,40.9945928,-77.6046984
1992,PENNSYLVANIA,PA,42,"CLINTON, BILL",2239164,"BUSH, GEORGE H.W.",1791841,928805,4959810,DEMOCRAT,23,0,23,11980.819,40.9945928,-77.6046984
1996,PENNSYLVANIA,PA,42,"CLINTON, BILL",2215819,"DOLE, ROBERT",1801169,484319,4501307,DEMOCRAT,23,0,23,12038.008,40.9945928,-77.6046984
2000,PENNSYLVANIA,PA,42,"GORE, AL",2485967,"BUSH, GEORGE W.",2281127,145091,4912185,DEMOCRAT,23,0,23,12284.173,40.9945928,-77.6046984
2004,PENNSYLVANIA,PA,42,"KERRY, JOHN",2938095,"BUSH, GEORGE W.",2793847,37648,5769590,DEMOCRAT,21,0,21,12410.722,40.9945928,-77.6046984
2008,PENNSYLVANIA,PA,42,"OBAMA, BARACK H.",3276363,"MCCAIN, JOHN",2655885,81024,6013272,DEMOCRAT,21,0,21,12612.285,40.9945928,-77.6046984
2012,PENNSYLVANIA,PA,42,"OBAMA, BARACK H.",2990274,"ROMNEY, MITT",2680434,71332,5742040,DEMOCRAT,20,0,20,12769.123,40.9945928,-77.6046984
2016,PENNSYLVANIA,PA,42,"CLINTON, HILLARY",2926441,"TRUMP, DONALD J.",2970733,218228,6115402,REPUBLICAN,0,20,20,12788.468,40.9945928,-77.6046984
2020,PENNSYLVANIA,PA,42,"BIDEN, JOSEPH R. JR",3458229,"TRUMP, DONALD J.",3377674,79380,6915283,DEMOCRAT,20,0,20,12783.254,40.9945928,-77.6046984
1976,RHODE ISLAND,RI,44,"CARTER, JIMMY",227636,"FORD, GERALD",181249,1699,410584,DEMOCRAT,4,0,4,946.089,41.5827282,-71.5064508
1980,RHODE ISLAND,RI,44,"CARTER, JIMMY",198342,"REAGAN, RONALD",154793,62832,415967,DEMOCRAT,4,0,4,948.773,41.5827282,-71.5064508
1984,RHODE ISLAND,RI,44,"MONDALE, WALTER",197106,"REAGAN, RONALD",212080,1303,410489,REPUBLICAN,0,4,4,961.894,41.5827282,-71.5064508
1988,RHODE ISLAND,RI,44,"DUKAKIS, MICHAEL",225123,"BUSH, GEORGE H.W.",177761,1738,404622,DEMOCRAT,4,0,4,996.408,41.5827282,-71.5064508
1992,RHODE ISLAND,RI,44,"CLINTON, BILL",213299,"BUSH, GEORGE H.W.",131601,108465,453365,DEMOCRAT,4,0,4,1000.571,41.5827282,-71.5064508
1996,RHODE ISLAND,RI,44,"CLINTON, BILL",233050,"DOLE, ROBERT",104683,52514,390247,DEMOCRAT,4,0,4,987.858,41.5827282,-71.5064508
2000,RHODE ISLAND,RI,44,"GORE, AL",249508,"BUSH, GEORGE W.",130555,29049,409112,DEMOCRAT,4,0,4,1050.268,41.5827282,-71.5064508
2004,RHODE ISLAND,RI,44,"KERRY, JOHN",259760,"BUSH, GEORGE W.",169046,8328,437134,DEMOCRAT,4,0,4,1074.579,41.5827282,-71.5064508
2008,RHODE ISLAND,RI,44,"OBAMA, BARACK H.",296571,"MCCAIN, JOHN",165391,9804,471766,DEMOCRAT,4,0,4,1055.003,41.5827282,-71.5064508
2012,RHODE ISLAND,RI,44,"OBAMA, BARACK H.",279677,"ROMNEY, MITT",157204,9168,446049,DEMOCRAT,4,0,4,1054.893,41.5827282,-71.5064508
2016,RHODE ISLAND,RI,44,"CLINTON, HILLARY",252525,"TRUMP, DONALD J.",180543,31076,464144,DEMOCRAT,4,0,4,1057.816,41.5827282,-71.5064508
2020,RHODE ISLAND,RI,44,"BIDEN, JOSEPH R. JR",307486,"TRUMP, DONALD J.",199922,9582,516990,DEMOCRAT,4,0,4,1057.125,41.5827282,-71.5064508
1976,SOUTH CAROLINA,SC,45,"CARTER, JIMMY",450807,"FORD, GERALD",346149,5627,802583,DEMOCRAT,8,0,8,2943.657,33.62505,-80.9470381
1980,SOUTH CAROLINA,SC,45,"CARTER, JIMMY",428220,"REAGAN, RONALD",439277,20761,888258,REPUBLICAN,0,8,8,3134.502,33.62505,-80.9470381
1984,SOUTH CAROLINA,SC,45,"MONDALE, WALTER",344459,"REAGAN, RONALD",615539,8531,968529,REPUBLICAN,0,8,8,3271.868,33.62505,-80.9470381
1988,SOUTH CAROLINA,SC,45,"DUKAKIS, MICHAEL",370554,"BUSH, GEORGE H.W.",606443,9012,986009,REPUBLICAN,0,8,8,3412.096,33.62505,-80.9470381
1992,SOUTH CAROLINA,SC,45,"CLINTON, BILL",525514,"BUSH, GEORGE H.W.",577507,125891,1228912,REPUBLICAN,0,8,8,3600.576,33.62505,-80.9470381
1996,SOUTH CAROLINA,SC,45,"CLINTON, BILL",506152,"DOLE, ROBERT",573339,70691,1150182,REPUBLICAN,0,8,8,3738.974,33.62505,-80.9470381
2000,SOUTH CAROLINA,SC,45,"GORE, AL",566037,"BUSH, GEORGE W.",786892,30973,1383902,REPUBLICAN,0,8,8,4024.223,33.62505,-80.9470381
2004,SOUTH CAROLINA,SC,45,"KERRY, JOHN",661669,"BUSH, GEORGE W.",937974,18057,1617700,REPUBLICAN,0,8,8,4210.921,33.62505,-80.9470381
2008,SOUTH CAROLINA,SC,45,"OBAMA, BARACK H.",862449,"MCCAIN, JOHN",1034896,23624,1920969,REPUBLICAN,0,8,8,4528.996,33.62505,-80.9470381
2012,SOUTH CAROLINA,SC,45,"OBAMA, BARACK H.",865941,"ROMNEY, MITT",1071645,26532,1964118,REPUBLICAN,0,9,9,4719.027,33.62505,-80.9470381
2016,SOUTH CAROLINA,SC,45,"CLINTON, HILLARY",855373,"TRUMP, DONALD J.",1155389,92265,2103027,REPUBLICAN,0,9,9,4963.031,33.62505,-80.9470381
2020,SOUTH CAROLINA,SC,45,"BIDEN, JOSEPH R. JR",1091541,"TRUMP, DONALD J.",1385103,37452,2514096,REPUBLICAN,0,9,9,5218.04,33.62505,-80.9470381
1976,SOUTH DAKOTA,SD,46,"CARTER, JIMMY",147068,"FORD, GERALD",151505,2105,300678,REPUBLICAN,0,4,4,686.39,44.2126995,-100.2471641
1980,SOUTH DAKOTA,SD,46,"CARTER, JIMMY",103855,"REAGAN, RONALD",198343,25505,327703,REPUBLICAN,0,4,4,690.851,44.2126995,-100.2471641
1984,SOUTH DAKOTA,SD,46,"MONDALE, WALTER",116113,"REAGAN, RONALD",200267,1487,317867,REPUBLICAN,0,3,3,697.249,44.2126995,-100.2471641
1988,SOUTH DAKOTA,SD,46,"DUKAKIS, MICHAEL",145560,"BUSH, GEORGE H.W.",165415,2016,312991,REPUBLICAN,0,3,3,698.165,44.2126995,-100.2471641
1992,SOUTH DAKOTA,SD,46,"CLINTON, BILL",124888,"BUSH, GEORGE H.W.",136718,74648,336254,REPUBLICAN,0,3,3,708.698,44.2126995,-100.2471641
1996,SOUTH DAKOTA,SD,46,"CLINTON, BILL",139333,"DOLE, ROBERT",150543,33950,323826,REPUBLICAN,0,3,3,730.699,44.2126995,-100.2471641
2000,SOUTH DAKOTA,SD,46,"GORE, AL",118804,"BUSH, GEORGE W.",190700,6765,316269,REPUBLICAN,0,3,3,755.844,44.2126995,-100.2471641
2004,SOUTH DAKOTA,SD,46,"KERRY, JOHN",149244,"BUSH, GEORGE W.",232584,6387,388215,REPUBLICAN,0,3,3,770.396,44.2126995,-100.2471641
2008,SOUTH DAKOTA,SD,46,"OBAMA, BARACK H.",170924,"MCCAIN, JOHN",203054,7997,381975,REPUBLICAN,0,3,3,799.124,44.2126995,-100.2471641
2012,SOUTH DAKOTA,SD,46,"OBAMA, BARACK H.",145039,"ROMNEY, MITT",210610,8166,363815,REPUBLICAN,0,3,3,833.859,44.2126995,-100.2471641
2016,SOUTH DAKOTA,SD,46,"CLINTON, HILLARY",117458,"TRUMP, DONALD J.",227721,24914,370093,REPUBLICAN,0,3,3,863.693,44.2126995,-100.2471641
2020,SOUTH DAKOTA,SD,46,"BIDEN, JOSEPH R. JR",150471,"TRUMP, DONALD J.",261043,11095,422609,REPUBLICAN,0,3,3,892.717,44.2126995,-100.2471641
1976,TENNESSEE,TN,47,"CARTER, JIMMY",825879,"FORD, GERALD",633969,16498,1476346,DEMOCRAT,10,0,10,4346.928,35.830521,-85.9785989
1980,TENNESSEE,TN,47,"CARTER, JIMMY",783051,"REAGAN, RONALD",787761,46804,1617616,REPUBLICAN,0,10,10,4600.252,35.830521,-85.9785989
1984,TENNESSEE,TN,47,"MONDALE, WALTER",711714,"REAGAN, RONALD",990212,10067,1711993,REPUBLICAN,0,11,11,4686.737,35.830521,-85.9785989
1988,TENNESSEE,TN,47,"DUKAKIS, MICHAEL",679794,"BUSH, GEORGE H.W.",947233,9223,1636250,REPUBLICAN,0,11,11,4822.437,35.830521,-85.9785989
1992,TENNESSEE,TN,47,"CLINTON, BILL",933521,"BUSH, GEORGE H.W.",841300,207817,1982638,DEMOCRAT,11,0,11,5013.999,35.830521,-85.9785989
1996,TENNESSEE,TN,47,"CLINTON, BILL",909146,"DOLE, ROBERT",863530,121429,1894105,DEMOCRAT,11,0,11,5313.576,35.830521,-85.9785989
2000,TENNESSEE,TN,47,"GORE, AL",981720,"BUSH, GEORGE W.",1061949,32512,2076181,REPUBLICAN,0,11,11,5703.719,35.830521,-85.9785989
2004,TENNESSEE,TN,47,"KERRY, JOHN",1036477,"BUSH, GEORGE W.",1384375,16467,2437319,REPUBLICAN,0,11,11,5910.809,35.830521,-85.9785989
2008,TENNESSEE,TN,47,"OBAMA, BARACK H.",1087437,"MCCAIN, JOHN",1479178,33134,2599749,REPUBLICAN,0,11,11,6247.411,35.830521,-85.9785989
2012,TENNESSEE,TN,47,"OBAMA, BARACK H.",960709,"ROMNEY, MITT",1462330,35538,2458577,REPUBLICAN,0,11,11,6455.752,35.830521,-85.9785989
2016,TENNESSEE,TN,47,"CLINTON, HILLARY",870695,"TRUMP, DONALD J.",1522925,114407,2508027,REPUBLICAN,0,11,11,6651.277,35.830521,-85.9785989
2020,TENNESSEE,TN,47,"BIDEN, JOSEPH R. JR",1143711,"TRUMP, DONALD J.",1852475,57665,3053851,REPUBLICAN,0,11,11,6886.834,35.830521,-85.9785989
1976,TEXAS,TX,48,"CARTER, JIMMY",2082319,"FORD, GERALD",1953300,36265,4071884,DEMOCRAT,26,0,26,12904.089,31.1693363,-100.0768425
1980,TEXAS,TX,48,"CARTER, JIMMY",1881147,"REAGAN, RONALD",2510705,149784,4541636,REPUBLICAN,0,26,26,14338.208,31.1693363,-100.0768425
1984,TEXAS,TX,48,"MONDALE, WALTER",1949276,"REAGAN, RONALD",3433428,14867,5397571,REPUBLICAN,0,29,29,16007.086,31.1693363,-100.0768425
1988,TEXAS,TX,48,"DUKAKIS, MICHAEL",2352748,"BUSH, GEORGE H.W.",3036829,37833,5427410,REPUBLICAN,0,29,29,16667.022,31.1693363,-100.0768425
1992,TEXAS,TX,48,"CLINTON, BILL",2281815,"BUSH, GEORGE H.W.",2496071,1376132,6154018,REPUBLICAN,0,32,32,17650.479,31.1693363,-100.0768425
1996,TEXAS,TX,48,"CLINTON, BILL",2459683,"DOLE, ROBERT",2736167,415794,5611644,REPUBLICAN,0,32,32,19006.24,31.1693363,-100.0768425
2000,TEXAS,TX,48,"GORE, AL",2433746,"BUSH, GEORGE W.",3799639,174252,6407637,REPUBLICAN,0,32,32,20944.499,31.1693363,-100.0768425
2004,TEXAS,TX,48,"KERRY, JOHN",2832704,"BUSH, GEORGE W.",4526917,51128,7410749,REPUBLICAN,0,34,34,22394.023,31.1693363,-100.0768425
2008,TEXAS,TX,48,"OBAMA, BARACK H.",3528633,"MCCAIN, JOHN",4479328,69834,8077795,REPUBLICAN,0,34,34,24309.039,31.1693363,-100.0768425
2012,TEXAS,TX,48,"OBAMA, BARACK H.",3308124,"ROMNEY, MITT",4569843,115884,7993851,REPUBLICAN,0,38,38,26084.12,31.1693363,-100.0768425
2016,TEXAS,TX,48,"CLINTON, HILLARY",3877868,"TRUMP, DONALD J.",4685047,406311,8969226,REPUBLICAN,0,38,38,27914.064,31.1693363,-100.0768425
2020,TEXAS,TX,48,"BIDEN, JOSEPH R. JR",5259126,"TRUMP, DONALD J.",5890347,165583,11315056,REPUBLICAN,0,38,38,29360.759,31.1693363,-100.0768425
1976,UTAH,UT,49,"CARTER, JIMMY",182110,"FORD, GERALD",337908,21200,541218,REPUBLICAN,0,4,4,1274.928,39.4997605,-111.547028
1980,UTAH,UT,49,"CARTER, JIMMY",124266,"REAGAN, RONALD",439687,40199,604152,REPUBLICAN,0,4,4,1472.595,39.4997605,-111.547028
1984,UTAH,UT,49,"MONDALE, WALTER",155369,"REAGAN, RONALD",469105,5182,629656,REPUBLICAN,0,5,5,1622.342,39.4997605,-111.547028
1988,UTAH,UT,49,"DUKAKIS, MICHAEL",207343,"BUSH, GEORGE H.W.",428442,11223,647008,REPUBLICAN,0,5,5,1689.372,39.4997605,-111.547028
1992,UTAH,UT,49,"CLINTON, BILL",183429,"BUSH, GEORGE H.W.",322632,237937,743998,REPUBLICAN,0,5,5,1821.498,39.4997605,-111.547028
1996,UTAH,UT,49,"CLINTON, BILL",221633,"DOLE, ROBERT",361911,82085,665629,REPUBLICAN,0,5,5,2022.253,39.4997605,-111.547028
2000,UTAH,UT,49,"GORE, AL",203053,"BUSH, GEORGE W.",515096,52605,770754,REPUBLICAN,0,5,5,2244.502,39.4997605,-111.547028
2004,UTAH,UT,49,"KERRY, JOHN",241199,"BUSH, GEORGE W.",663742,22903,927844,REPUBLICAN,0,5,5,2401.58,39.4997605,-111.547028
2008,UTAH,UT,49,"OBAMA, BARACK H.",327670,"MCCAIN, JOHN",596030,28670,952370,REPUBLICAN,0,5,5,2663.029,39.4997605,-111.547028
2012,UTAH,UT,49,"OBAMA, BARACK H.",251813,"ROMNEY, MITT",740600,25027,1017440,REPUBLICAN,0,6,6,2854.146,39.4997605,-111.547028
2016,UTAH,UT,49,"CLINTON, HILLARY",310674,"TRUMP, DONALD J.",515211,305432,1131317,REPUBLICAN,0,6,6,3044.241,39.4997605,-111.547028
2020,UTAH,UT,49,"BIDEN, JOSEPH R. JR",560282,"TRUMP, DONALD J.",865140,62867,1488289,REPUBLICAN,0,6,6,3249.879,39.4997605,-111.547028
1976,VERMONT,VT,50,"CARTER, JIMMY",77798,"FORD, GERALD",100387,5717,183902,REPUBLICAN,0,3,3,484.928,43.8717545,-72.4477828
1980,VERMONT,VT,50,"CARTER, JIMMY",81952,"REAGAN, RONALD",94628,36719,213299,REPUBLICAN,0,3,3,512.524,43.8717545,-72.4477828
1984,VERMONT,VT,50,"MONDALE, WALTER",95730,"REAGAN, RONALD",135865,2966,234561,REPUBLICAN,0,3,3,526.66,43.8717545,-72.4477828
1988,VERMONT,VT,50,"DUKAKIS, MICHAEL",115775,"BUSH, GEORGE H.W.",124331,3222,243328,REPUBLICAN,0,3,3,549.763,43.8717545,-72.4477828
1992,VERMONT,VT,50,"CLINTON, BILL",133592,"BUSH, GEORGE H.W.",88122,67987,289701,DEMOCRAT,3,0,3,570.115,43.8717545,-72.4477828
1996,VERMONT,VT,50,"CLINTON, BILL",137894,"DOLE, ROBERT",80352,40203,258449,DEMOCRAT,3,0,3,586.352,43.8717545,-72.4477828
2000,VERMONT,VT,50,"GORE, AL",149022,"BUSH, GEORGE W.",119775,25511,294308,DEMOCRAT,3,0,3,609.618,43.8717545,-72.4477828
2004,VERMONT,VT,50,"KERRY, JOHN",184067,"BUSH, GEORGE W.",121180,7062,312309,DEMOCRAT,3,0,3,619.92,43.8717545,-72.4477828
2008,VERMONT,VT,50,"OBAMA, BARACK H.",219262,"MCCAIN, JOHN",98974,6810,325046,DEMOCRAT,3,0,3,624.151,43.8717545,-72.4477828
2012,VERMONT,VT,50,"OBAMA, BARACK H.",199239,"ROMNEY, MITT",92698,7353,299290,DEMOCRAT,3,0,3,626.361,43.8717545,-72.4477828
2016,VERMONT,VT,50,"CLINTON, HILLARY",178573,"TRUMP, DONALD J.",95369,46525,320467,DEMOCRAT,3,0,3,624.366,43.8717545,-72.4477828
2020,VERMONT,VT,50,"BIDEN, JOSEPH R. JR",242820,"TRUMP, DONALD J.",112704,15444,370968,DEMOCRAT,3,0,3,623.347,43.8717545,-72.4477828
1976,VIRGINIA,VA,51,"CARTER, JIMMY",813896,"FORD, GERALD",836554,46644,1697094,REPUBLICAN,0,12,12,5121.863,38.0033855,-79.4587861
1980,VIRGINIA,VA,51,"CARTER, JIMMY",752174,"REAGAN, RONALD",989609,124249,1866032,REPUBLICAN,0,12,12,5368.334,38.0033855,-79.4587861
1984,VIRGINIA,VA,51,"MONDALE, WALTER",796250,"REAGAN, RONALD",1337078,13307,2146635,REPUBLICAN,0,12,12,5643.87,38.0033855,-79.4587861
1988,VIRGINIA,VA,51,"DUKAKIS, MICHAEL",859799,"BUSH, GEORGE H.W.",1309162,22648,2191609,REPUBLICAN,0,12,12,6036.909,38.0033855,-79.4587861
1992,VIRGINIA,VA,51,"CLINTON, BILL",1038650,"BUSH, GEORGE H.W.",1150517,369962,2559129,REPUBLICAN,0,13,13,6383.315,38.0033855,-79.4587861
1996,VIRGINIA,VA,51,"CLINTON, BILL",1091060,"DOLE, ROBERT",1138350,187232,2416642,REPUBLICAN,0,13,13,6665.491,38.0033855,-79.4587861
2000,VIRGINIA,VA,51,"GORE, AL",1217290,"BUSH, GEORGE W.",1437490,84667,2739447,REPUBLICAN,0,13,13,7105.817,38.0033855,-79.4587861
2004,VIRGINIA,VA,51,"KERRY, JOHN",1454742,"BUSH, GEORGE W.",1716959,23714,3195415,REPUBLICAN,0,13,13,7475.575,38.0033855,-79.4587861
2008,VIRGINIA,VA,51,"OBAMA, BARACK H.",1959532,"MCCAIN, JOHN",1725005,38723,3723260,DEMOCRAT,13,0,13,7833.496,38.0033855,-79.4587861
2012,VIRGINIA,VA,51,"OBAMA, BARACK H.",1971820,"ROMNEY, MITT",1822522,60147,3854489,DEMOCRAT,13,0,13,8187.456,38.0033855,-79.4587861
2016,VIRGINIA,VA,51,"CLINTON, HILLARY",1981473,"TRUMP, DONALD J.",1769443,231836,3982752,DEMOCRAT,13,0,13,8417.651,38.0033855,-79.4587861
2020,VIRGINIA,VA,51,"BIDEN, JOSEPH R. JR",2413568,"TRUMP, DONALD J.",1962430,84526,4460524,DEMOCRAT,13,0,13,8590.563,38.0033855,-79.4587861
1976,WASHINGTON,WA,53,"CARTER, JIMMY",717323,"FORD, GERALD",777732,60479,1555534,REPUBLICAN,0,9,9,3693.61,38.8993487,-77.0145665
1980,WASHINGTON,WA,53,"CARTER, JIMMY",650193,"REAGAN, RONALD",865244,226957,1742394,REPUBLICAN,0,9,9,4154.678,38.8993487,-77.0145665
1984,WASHINGTON,WA,53,"MONDALE, WALTER",798352,"REAGAN, RONALD",1051670,24888,1874910,REPUBLICAN,0,10,10,4343.656,38.8993487,-77.0145665
1988,WASHINGTON,WA,53,"DUKAKIS, MICHAEL",933516,"BUSH, GEORGE H.W.",903835,27902,1865253,DEMOCRAT,10,0,10,4639.893,38.8993487,-77.0145665
1992,WASHINGTON,WA,53,"CLINTON, BILL",993037,"BUSH, GEORGE H.W.",731234,563294,2287565,DEMOCRAT,11,0,11,5139.011,38.8993487,-77.0145665
1996,WASHINGTON,WA,53,"CLINTON, BILL",1123323,"DOLE, ROBERT",840712,289802,2253837,DEMOCRAT,11,0,11,5509.963,38.8993487,-77.0145665
2000,WASHINGTON,WA,53,"GORE, AL",1247652,"BUSH, GEORGE W.",1108864,130917,2487433,DEMOCRAT,11,0,11,5910.512,38.8993487,-77.0145665
2004,WASHINGTON,WA,53,"KERRY, JOHN",1510201,"BUSH, GEORGE W.",1304894,43989,2859084,DEMOCRAT,11,0,11,6178.645,38.8993487,-77.0145665
2008,WASHINGTON,WA,53,"OBAMA, BARACK H.",1750848,"MCCAIN, JOHN",1229216,56814,3036878,DEMOCRAT,11,0,11,6562.231,38.8993487,-77.0145665
2012,WASHINGTON,WA,53,"OBAMA, BARACK H.",1755396,"ROMNEY, MITT",1290670,79450,3125516,DEMOCRAT,12,0,12,6898.599,38.8993487,-77.0145665
2016,WASHINGTON,WA,53,"CLINTON, HILLARY",1742718,"TRUMP, DONALD J.",1221747,352554,3317019,DEMOCRAT,12,0,12,7299.961,38.8993487,-77.0145665
